date,inflationrate,feerevenue,totalsupply,circulatingsupply,riskreward,stakedtokens,realrewardrate,marketcap,price
2023-12-24,20.70760964260815,1625085.3019600012,1072120593.3212144,306312869.914094,0.0029745695539792,906185590.0640098,-11.830454018458658,2873214719.794202,9.38
2023-12-25,20.700375831592197,2285989.8399684383,1072290908.8151472,306483203.458028,0.0037622798525385,906372764.2402288,-11.825169844083884,3196619812.067232,10.43
2023-12-26,20.70061125066748,2513075.792056458,1072461314.4753152,306653582.989043,0.0040673779207637,906886946.81105,-11.825341823635316,3299592552.9621024,10.76
2023-12-27,20.69958945140912,2483645.41663653,1072631880.6694074,306824139.175946,0.0041670955526425,907346554.3306558,-11.82459536873236,3105060288.460573,10.12
2023-12-28,20.69251420766859,2397067.736896975,1072802461.664827,306994732.201387,0.0042895983580573,907540726.5529376,-11.81942634492188,2971709007.709426,9.68
2023-12-29,20.685526317144724,2427974.691565169,1072972905.5673112,307165177.537491,0.0043214085994856,907737950.7546208,-11.814320544633826,2970287266.787538,9.67
2023-12-30,20.675913927858897,2454046.4671580764,1073143468.4404472,307335735.668909,0.0044506066751621,907819933.6663138,-11.80729615134134,2901249344.714501,9.44
2023-12-31,20.666248014391385,2512926.1171079064,1073314136.182052,307506397.796075,0.0044951525663589,907899403.7819712,-11.80023151596985,2893635203.261065,9.41
2024-01-01,20.65924242747228,2654784.0664438307,1073485032.9579736,307677287.936274,0.0045944147277098,908096012.5455308,-11.79511055605058,3064465787.845289,9.96
2024-01-02,20.65170190893053,2716559.397343493,1073655974.752046,307848227.975187,0.0046027942536188,908268899.9888352,-11.789597906052265,3146208889.906411,10.22
2024-01-03,20.64267807449,2494243.204888203,1073826879.4264998,308019130.222954,0.0046435834940461,908376034.7228616,-11.782999941906125,2772172172.0065856,9.0
2024-01-04,20.63701109802526,2844828.0648696804,1073997835.7704306,308190083.451483,0.0045313553358188,908630678.7954508,-11.778855909667874,3180521661.2193046,10.32
2024-01-05,20.64122287724096,2498403.114326713,1074168885.6410213,308361122.274029,0.0045187920252972,909320493.2476012,-11.781935851765624,2966433996.276159,9.62
2024-01-06,20.56898614491148,2402126.9353864538,1074339895.6536891,308532172.190497,0.0045348689972093,906640844.7711128,-11.72908159056414,2795301480.0459027,9.06
